2025-06-18 10:13:01,587 - INFO - Creado estándar para producto 10210240328, proceso: 6090, máquina 6010
2025-06-18 10:13:01,589 - INFO - Creado estándar para producto 10210240409, proceso: 1020, máquina 1002
2025-06-18 10:13:01,593 - INFO - Creado estándar para producto 10210240409, proceso: 2150, máquina 1203
2025-06-18 10:13:01,596 - INFO - Creado estándar para producto 10210240409, proceso: 2370, máquina 1402
2025-06-18 10:13:01,599 - INFO - Creado estándar para producto 10210240409, proceso: 2320, máquina 1601
2025-06-18 10:13:01,601 - INFO - Creado estándar para producto 10210240409, proceso: 3060, máquina 2002
2025-06-18 10:13:01,603 - INFO - Creado estándar para producto 10210240409, proceso: 6090, máquina 6010
2025-06-18 10:13:01,605 - INFO - Creado estándar para producto 10210240484, proceso: 1020, máquina 1002
2025-06-18 10:13:01,609 - INFO - Creado estándar para producto 10210240484, proceso: 2150, máquina 1203
2025-06-18 10:13:01,612 - INFO - Creado estándar para producto 10210240484, proceso: 2370, máquina 1402
2025-06-18 10:13:01,615 - INFO - Creado estándar para producto 10210240484, proceso: 2320, máquina 1601
2025-06-18 10:13:01,617 - INFO - Creado estándar para producto 10210240484, proceso: 3060, máquina 2002
2025-06-18 10:13:01,620 - INFO - Creado estándar para producto 10210240484, proceso: 6090, máquina 6010
2025-06-18 10:13:01,622 - INFO - Creado estándar para producto 10210240565, proceso: 1020, máquina 1002
2025-06-18 10:13:01,626 - INFO - Creado estándar para producto 10210240565, proceso: 2150, máquina 1203
2025-06-18 10:13:01,629 - INFO - Creado estándar para producto 10210240565, proceso: 2370, máquina 1402
2025-06-18 10:13:01,633 - INFO - Creado estándar para producto 10210240565, proceso: 2320, máquina 1601
2025-06-18 10:13:01,635 - INFO - Creado estándar para producto 10210240565, proceso: 3060, máquina 2002
2025-06-18 10:13:01,636 - INFO - Creado estándar para producto 10210240565, proceso: 6090, máquina 6010
2025-06-18 10:13:01,639 - INFO - Creado estándar para producto 10210241049, proceso: 1020, máquina 1002
2025-06-18 10:13:01,644 - INFO - Creado estándar para producto 10210241049, proceso: 2150, máquina 1203
2025-06-18 10:13:01,647 - INFO - Creado estándar para producto 10210241049, proceso: 2395, máquina 1431
